Unnamed: 0,Temp_min,Temp_max,pH_min,pH_max,conduc_min,conduc_max,bod_min,bod_max,nitrate_min,nitrate_max,Fcoli_min,Fcoli_max,Tcoli_min,Tcoli_max,Tds_min,Tds_max,F_min,F_max,Ar_min,Ar_max
300,30.0,32.0,7.2,7.6,1079.0,1559.0,1.0,1.0,0.8,2.2,2.0,2.0,2.0,2.0,788.0,1070.0,0.8,0.9,0.001,0.001
301,28.0,28.0,7.3,7.3,786.0,786.0,1.5,1.5,1.1,1.1,2.0,2.0,2.0,2.0,620.0,620.0,0.2,0.2,0.004,0.004
302,27.0,28.0,7.8,7.9,1644.0,1743.0,1.0,1.0,0.3,2.4,2.0,2.0,2.0,2.0,926.0,942.0,0.9,1.0,0.001,0.001
303,26.0,30.0,7.6,7.6,2640.0,3518.0,1.2,1.6,1.2,1.2,-1.0,-1.0,-1.0,-1.0,1986.0,3016.0,0.2,0.2,0.005,0.005
304,25.0,27.0,7.4,7.5,562.0,676.0,1.0,1.0,0.3,0.4,2.0,2.0,2.0,2.0,288.0,402.0,0.2,0.3,0.001,0.001
305,30.0,30.0,7.6,8.4,1168.0,1439.0,1.0,2.1,0.3,0.5,2.0,2.0,2.0,2.0,712.0,804.0,0.5,0.7,0.001,0.001
306,30.0,31.0,7.8,7.9,2201.0,3494.0,1.6,2.9,0.3,0.9,2.0,2.0,2.0,2.0,1338.0,2132.0,0.5,0.7,0.001,0.001
307,29.0,29.0,8.0,8.0,1832.0,1832.0,1.0,1.0,0.38,0.38,2.0,2.0,2.0,2.0,1012.0,1012.0,1.0,1.0,0.001,0.001
308,29.0,29.0,7.5,7.7,958.0,1025.0,1.0,1.0,0.3,0.38,2.0,2.0,2.0,2.0,498.0,608.0,0.2,0.5,0.001,0.001
309,28.0,30.0,7.2,8.3,5050.0,5248.0,1.7,3.1,0.58,0.9,2.0,2.0,2.0,2.0,3280.0,3410.0,0.7,1.1,0.001,0.001
310,27.0,27.0,7.9,8.0,622.0,882.0,1.0,1.0,0.3,0.4,2.0,2.0,2.0,2.0,414.0,442.0,0.2,0.3,0.001,0.001
311,30.0,30.0,7.1,8.2,1765.0,1775.0,1.0,1.0,0.3,0.31,2.0,2.0,2.0,2.0,848.0,862.0,0.5,0.7,0.001,0.001
