,Stn_code,Location,State_Name,Temp_min,Temp_max,pH_min,pH_max,conduc_min,conduc_max,bod_min,bod_max,nitrate_min,nitrate_max,Fcoli_min,Fcoli_max,Tcoli_min,Tcoli_max,Tds_min,Tds_max,F_min,F_max,Ar_min,Ar_max
182,2451.0,"WELL AT VILLAGE DABHEL, DAMAN","DAMAN AND DIU, DADRA AND
NAGAR HAVELI",28.4,29.1,7.0,7.1,1120,1324,1,1,1.67,1.78,2,2,6,8,790,823,0.3,0.4,0.01,0.01
183,2450.0,"WELL AT VILLAGE DUNETHA, DAMAN","DAMAN AND DIU, DADRA AND
NAGAR HAVELI",27.5,28.3,7.2,7.3,683,809,1,1,1.97,2,2,2,6,7,465,495,0.6,0.6,0.01,0.01
184,2457.0,"WELL AT VILLAGE GALONDA, DADRA","DAMAN AND DIU, DADRA AND
NAGAR HAVELI",27.2,27.3,7.1,7.3,391,409,1,1,1.05,1.1,2,2,6,6,278,322,0.4,0.6,0.01,0.01
185,2452.0,"WELL AT VILLAGE KACHIGAM, DAMAN","DAMAN AND DIU, DADRA AND
NAGAR HAVELI",28.6,29.3,7.1,7.4,435,457,1,1,3.57,3.63,9,11,24,25,275,303,0.2,0.2,0.01,0.01
186,2453.0,"WELL AT VILLAGE KHANVEL, DADRA","DAMAN AND DIU, DADRA AND
NAGAR HAVELI",29.1,29.4,6.8,6.9,483,495,1,1,2.31,2.48,7,10,10,12,322,337,0.3,0.4,0.01,0.01
187,2456.0,"WELL AT VILLAGE PIPERIA, DADRA","DAMAN AND DIU,
DADRA AND NAGAR HAVELI",27.5,27.7,7.1,7.2,2832,2880,1,1,3.87,5.96,2,2,4,4,1917,1931,0.7,0.8,0.01,0.01
188,2449.0,"WELL AT VILLAGE RINGANWADA, DAMAN","DAMAN AND DIU, DADRA AND
NAGAR HAVELI",28.4,28.8,7.5,7.7,1990,2195,1,1,1.63,1.89,2,2,6,8,1224,1385,0.4,0.4,0.01,0.01
189,2458.0,"WELL AT VILLAGE, DADRA","DAMAN AND DIU, DADRA AND
NAGAR HAVELI",27,27.6,7.2,7.3,2897,3320,1,1,1.4,2.7,2,2,8,10,2024,2295,0.3,0.3,0.01,0.01
190,3477.0,"WELL AT ALIPUR, DELHI",DELHI,-,-,7.4,7.4,-,-,-,-,0.3,0.3,-,-,-,-,669,669,-,-,-,-
191,3479.0,"WELL AT AURBINDO MARG,
DELHI",DELHI,-,-,7.5,7.5,-,-,-,-,0.48,0.48,-,-,-,-,675,675,-,-,-,-
192,3480.0,"WELL AT BAWANA, DELHI",DELHI,-,-,7.1,7.1,-,-,-,-,0.76,0.76,-,-,-,-,461,461,-,-,-,-
193,3483.0,"WELL AT BURARI, DELHI",DELHI,-,-,7.4,7.4,-,-,-,-,0.3,0.3,-,-,-,-,346,346,-,-,-,-
194,3485.0,"WELL AT DEFENCE COLONY,
DELHI",DELHI,-,-,6.7,6.7,-,-,-,-,0.47,0.47,-,-,-,-,288,288,-,-,-,-
195,3488.0,"WELL AT DILSHAD GARDEN,
DELHI",DELHI,-,-,7.2,7.2,-,-,-,-,0.3,0.3,-,-,-,-,559,559,-,-,-,-
196,3489.0,"WELL AT DWARKA, DELHI",DELHI,-,-,6.7,6.7,-,-,-,-,0.3,0.3,-,-,-,-,577,577,-,-,-,-
197,3490.0,"WELL AT FATEH PUR BERI, DELHI",DELHI,-,-,7.3,7.3,-,-,-,-,0.76,0.76,-,-,-,-,590,590,-,-,-,-
198,3492.0,"WELL AT GAJIPUR, DELHI",DELHI,-,-,7.0,7.0,-,-,-,-,0.4,0.4,-,-,-,-,679,679,-,-,-,-
199,3493.0,"WELL AT GANDHI NAGAR, DELHI",DELHI,-,-,6.9,6.9,-,-,-,-,0.3,0.3,-,-,-,-,496,496,-,-,-,-
200,3494.0,"WELL AT HAIDERPUR, DELHI",DELHI,-,-,7.0,7.0,-,-,-,-,0.3,0.3,-,-,-,-,383,383,-,-,-,-
201,3496.0,"WELL AT ISBT, DELHI",DELHI,-,-,7.2,7.2,-,-,-,-,0.86,0.86,-,-,-,-,375,375,-,-,-,-
202,3498.0,"WELL AT KALKA JI, DELHI",DELHI,-,-,6.9,6.9,-,-,-,-,0.57,0.57,-,-,-,-,441,441,-,-,-,-
203,3500.0,"WELL AT KAMLA NAGAR, DELHI",DELHI,-,-,7.2,7.2,-,-,-,-,0.5,0.5,-,-,-,-,536,536,-,-,-,-
204,3503.0,"WELL AT KAROL BAGH, DELHI",DELHI,-,-,6.9,6.9,-,-,-,-,0.3,0.3,-,-,-,-,358,358,-,-,-,-
205,3514.0,"WELL AT MATIALA, DELHI",DELHI,-,-,6.9,6.9,-,-,-,-,0.36,0.36,-,-,-,-,807,807,-,-,-,-
206,3515.0,"WELL AT MAYA PURI, DELHI",DELHI,-,-,7.3,7.3,-,-,-,-,0.5,0.5,-,-,-,-,698,698,-,-,-,-
207,3516.0,"WELL AT MAYUR VIHAR, DELHI",DELHI,-,-,7.3,7.3,-,-,-,-,0.3,0.3,-,-,-,-,480,480,-,-,-,-
208,3517.0,"WELL AT NAJAFGARH, DELHI",DELHI,-,-,7.0,7.0,-,-,-,-,0.69,0.69,-,-,-,-,768,768,-,-,-,-
209,3518.0,"WELL AT NARAINA INDL AREA, DELHI",DELHI,-,-,6.9,6.9,-,-,-,-,0.56,0.56,-,-,-,-,450,450,-,-,-,-
210,3520.0,"WELL AT OKHLA, DELHI",DELHI,-,-,7.3,7.3,-,-,-,-,1.01,1.01,-,-,-,-,838,838,-,-,-,-
211,3523.0,"WELL AT PARIVESH BHAWAN,
DELHI",DELHI,-,-,7.1,7.2,2312,2562,-,-,0.4,1.9,2,2,2,2,1308,1540,0.4,0.4,0.001,0.001
212,3524.0,"WELL AT PASCHIM VIHAR, DELHI",DELHI,-,-,7.1,7.1,-,-,-,-,0.3,0.3,-,-,-,-,1080,1080,-,-,-,-
213,3525.0,"WELL AT PATEL NAGAR, DELHI",DELHI,-,-,7.0,7.0,-,-,-,-,0.3,0.3,-,-,-,-,394,394,-,-,-,-
214,3526.0,"WELL AT PATPAR GANJ, DELHI",DELHI,-,-,7.3,7.3,-,-,-,-,0.3,0.3,-,-,-,-,1115,1115,-,-,-,-
215,3527.0,"WELL AT PATPARGANJ INDL
AREA, DELHI",DELHI,-,-,7.4,7.4,-,-,-,-,1.5,1.5,-,-,-,-,1110,1110,-,-,-,-
216,3528.0,"WELL AT PEERAGARHI, DELHI",DELHI,-,-,7.1,7.1,-,-,-,-,0.3,0.3,-,-,-,-,1970,1970,-,-,-,-
217,3529.0,"WELL AT PILANJI, DELHI",DELHI,-,-,7.7,7.7,-,-,-,-,0.34,0.34,-,-,-,-,312,312,-,-,-,-
218,3530.0,"WELL AT PRIYA ENCLAVE, DELHI",DELHI,-,-,7.0,7.0,-,-,-,-,0.3,0.3,-,-,-,-,485,485,-,-,-,-
219,3531.0,"WELL AT QUTAB GARH, DELHI",DELHI,-,-,7.5,7.5,-,-,-,-,0.57,0.57,-,-,-,-,2850,2850,-,-,-,-
220,3532.0,"WELL AT RAJENDER NAGAR,
DELHI",DELHI,-,-,7.0,7.0,-,-,-,-,1.03,1.03,-,-,-,-,-,-,-,-,-,-
221,3533.0,"WELL AT RAJPURA ROAD, DELHI",DELHI,-,-,7.2,7.2,-,-,-,-,0.36,0.36,-,-,-,-,397,397,-,-,-,-
222,3535.0,"WELL AT ROHINI, DELHI",DELHI,-,-,7.3,7.3,-,-,-,-,1.5,1.5,-,-,-,-,367,367,-,-,-,-
223,3536.0,"WELL AT SAKET, DELHI",DELHI,-,-,7.4,7.4,-,-,-,-,0.3,0.3,-,-,-,-,500,500,-,-,-,-
